study_id,StudyClass,Treatment Focus (Study level),Total N Randomized (Study level),Outcome,Outcome Measure,Comparison,NCPTSD Treatment Names,Assessment Point Category,Assessment Point,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Military Status (Study level),Active Duty Military (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
keane1989_ZungDepress_AvsB_0_NA_1,Psychotherapy,PTSD,24,Depression,Zung Depression Scale,A vs B,Implosive Therapy vs Waitlist,End of Treatment,0,,Group x Time interaction,,,,,,p<0.08,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,High,"Keane TM, Fairbank JA, Caddell JM, et al. Implosive (flooding) therapy reduces symptoms of PTSD in Vietnam combat veterans. Behav Ther. 1989 Spring;20(2):245-60. doi: 10.1016/S0005-7894(89)80072-3.",1015,2019
foa2013_Percentageo_Omnibus_26_ITT_1,Psychotherapy,PTSD+SUD,165,Substance Use,Percentage of days drinking using Timeline Follow-Back Interview,Omnibus,Prolonged Exposure (PE) + naltrexone vs Prolonged Exposure (PE) + placebo vs Supportive counseling + naltrexone vs Supportive counseling + placebo,Assessment at 6 to <12 Months,26,ITT,End of treatment to follow-up: PE x time,Cohen's d,0.41,,,,p=0.01,"End of treatment to follow-up: Naltrexone x time; PE x Naltrexone x time: NR (NR), p=0.39",,,,,,p=0.98,Mixed,0,0.1152,0.8848,0.3455,,0.6545,Mixed,Combat-related; Rape/sexual assault; Community/school violence; Other (not specified),High,"Foa EB, Yusko DA, McLean CP, et al. Concurrent naltrexone and prolonged exposure therapy for patients with comorbid alcohol dependence and PTSD: a randomized clinical trial. JAMA. 2013 Aug 7;310(5):488-95. doi: 10.1001/jama.2013.8268. PMID: 23925619.",40905,2020
foa2017_HAMD_AvsB_0_ITT_1,Psychotherapy,PTSD+SUD,142,Depression,HAM-D,A vs B,Prolonged Exposure (PE) + smoking cessation counseling + varenicline vs Smoking cessation counseling + varenicline,End of Treatment,0,ITT,Group x time interaction,,,,,,p<0.001,,,,,,,,Community,,,1,0.3944,,0.6056,Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (imprisonment, torture, other)",Medium,"Foa EB, Asnaani A, Rosenfield D, et al. Concurrent varenicline and prolonged exposure for patients with nicotine dependence and PTSD: a randomized controlled trial. J Consult Clin Psychol. 2017 Sep;85(9):862-72. doi: 10.1037/ccp0000213. PMID: 28569519.",48569,2020
foa2017_HAMD_AvsB_12_ITT_1,Psychotherapy,PTSD+SUD,142,Depression,HAM-D,A vs B,Prolonged Exposure (PE) + smoking cessation counseling + varenicline vs Smoking cessation counseling + varenicline,Assessment at 3 to <6 Months,12,ITT,Group x time interaction,,,,,,p<0.001,,,,,,,,Community,,,1,0.3944,,0.6056,Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (imprisonment, torture, other)",Medium,"Foa EB, Asnaani A, Rosenfield D, et al. Concurrent varenicline and prolonged exposure for patients with nicotine dependence and PTSD: a randomized controlled trial. J Consult Clin Psychol. 2017 Sep;85(9):862-72. doi: 10.1037/ccp0000213. PMID: 28569519.",48569,2020
foa2017_PointPreval_AvsB_0_ITT_1,Psychotherapy,PTSD+SUD,142,Substance Use,"Point Prevalence Abstinence, or self-reported abstinence for 7 days prior to the assessment, serum cotinine level of <15ng/ml, and exhaled carbon monoxide < 10 ppm.",A vs B,Prolonged Exposure (PE) + smoking cessation counseling + varenicline vs Smoking cessation counseling + varenicline,End of Treatment,0,ITT,,d,0.24,,,,p=0.092,,,,,,,,Community,,,1,0.3944,,0.6056,Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (imprisonment, torture, other)",Medium,"Foa EB, Asnaani A, Rosenfield D, et al. Concurrent varenicline and prolonged exposure for patients with nicotine dependence and PTSD: a randomized controlled trial. J Consult Clin Psychol. 2017 Sep;85(9):862-72. doi: 10.1037/ccp0000213. PMID: 28569519.",48569,2020
foa2017_PointPreval_AvsB_12_ITT_1,Psychotherapy,PTSD+SUD,142,Substance Use,"Point Prevalence Abstinence, or self-reported abstinence for 7 days prior to the assessment, serum cotinine level of <15ng/ml, and exhaled carbon monoxide < 10 ppm.",A vs B,Prolonged Exposure (PE) + smoking cessation counseling + varenicline vs Smoking cessation counseling + varenicline,Assessment at 3 to <6 Months,12,ITT,,d,0.24,,,,p=0.092,,,,,,,,Community,,,1,0.3944,,0.6056,Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (imprisonment, torture, other)",Medium,"Foa EB, Asnaani A, Rosenfield D, et al. Concurrent varenicline and prolonged exposure for patients with nicotine dependence and PTSD: a randomized controlled trial. J Consult Clin Psychol. 2017 Sep;85(9):862-72. doi: 10.1037/ccp0000213. PMID: 28569519.",48569,2020
fonzo2017_BDIII_AvsB_0_ITT_1,Psychotherapy,PTSD,66,Depression,BDI-II,A vs B,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,0.96,,,,p=0.002,,,,,,,,,,,,0.6515,,0.3485,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Medium,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908.",48700,2019
fonzo2017_WHOQOLBREF_AvsB_0_ITT_1,Psychotherapy,PTSD,66,Quality of Life,WHOQOL-BREF - Environment,A vs B,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,0.38,,,,p=0.22,,,,,,,,,,,,0.6515,,0.3485,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Medium,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908.",48700,2019
fonzo2017_WHOQOLBREF_AvsB_0_ITT_2,Psychotherapy,PTSD,66,Quality of Life,WHOQOL-BREF - Physical,A vs B,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,0.61,,,,p=0.049,,,,,,,,,,,,0.6515,,0.3485,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Medium,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908.",48700,2019
fonzo2017_WHOQOLBREF_AvsB_0_ITT_3,Psychotherapy,PTSD,66,Quality of Life,WHOQOL-BREF - Psychological,A vs B,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,0.49,,,,p=0.11,,,,,,,,,,,,0.6515,,0.3485,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Medium,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908.",48700,2019
fonzo2017_WHOQOLBREF_AvsB_0_ITT_4,Psychotherapy,PTSD,66,Quality of Life,WHOQOL-BREF - Social relationships,A vs B,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,0.34,,,,p=0.26,,,,,,,,,,,,0.6515,,0.3485,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Medium,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908.",48700,2019
forbes2012_AUDIT_AvsB_0_I_1,Psychotherapy,PTSD,59,Substance Use,AUDIT,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,End of Treatment,0,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,0.23,95% CI,-0.29,0.75,p=0.354,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_AUDIT_AvsB_20_I_1,Psychotherapy,PTSD,59,Substance Use,AUDIT,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,Assessment at 3 to <6 Months,20,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,0.28,95% CI,-0.24,0.8,p=0.128,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_BDIII_AvsB_0_I_1,Psychotherapy,PTSD,59,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,End of Treatment,0,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,0.55,95% CI,0.02,1.07,p=0.054,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_BDIII_AvsB_20_I_1,Psychotherapy,PTSD,59,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,Assessment at 3 to <6 Months,20,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,-0.05,95% CI,-0.56,0.47,p=0.785,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_DAR7_AvsB_0_I_1,Psychotherapy,PTSD,59,Anger,DAR7,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,End of Treatment,0,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,0.36,95% CI,-0.15,0.88,p=0.217,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_DAR7_AvsB_20_I_1,Psychotherapy,PTSD,59,Anger,DAR7,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,Assessment at 3 to <6 Months,20,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,0.1,95% CI,-0.41,0.62,p=0.647,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_STAIS_AvsB_0_I_1,Psychotherapy,PTSD,59,Anxiety,STAI-S,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,End of Treatment,0,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,0.76,95% CI,0.22,1.29,p=0.018,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_STAIS_AvsB_20_I_1,Psychotherapy,PTSD,59,Anxiety,STAI-S,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,Assessment at 3 to <6 Months,20,"ITT (except for proportion with diagnostic change, which was a completer analysis)",,Hedges' g,-0.08,95% CI,-0.59,0.44,p=0.917,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
fortney2015_SCL20_AvsB_26_ITT_1,Collaborative care,PTSD,265,Depression,SCL-20,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at 6 to <12 Months,26,ITT,Unadjusted,,,,,,p=0.01,Adjusted,beta,-0.25,95% CI,-0.4,-0.1,p=0.001,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
fortney2015_SCL20_AvsB_52_ITT_1,Collaborative care,PTSD,265,Depression,SCL-20,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at ≥12 Months,52,ITT,Unadjusted,,,,,,p=0.03,Adjusted,beta,-0.23,95% CI,-0.4,-0.05,p=0.01,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
fortney2015_SF12forVe_AvsB_26_ITT_1,Collaborative care,PTSD,265,Functioning,SF-12 for Veterans - MCS,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at 6 to <12 Months,26,ITT,Unadjusted,,,,,,p=0.70,Adjusted,beta,-0.12,95% CI,-2.88,2.63,p=0.93,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
fortney2015_SF12forVe_AvsB_26_ITT_2,Collaborative care,PTSD,265,Functioning,SF-12 for Veterans - PCS,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at 6 to <12 Months,26,ITT,Unadjusted,,,,,,p=0.055,Adjusted,beta,2.67,95% CI,0.45,4.91,p=0.02,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
fortney2015_SF12forVe_AvsB_52_ITT_1,Collaborative care,PTSD,265,Functioning,SF-12 for Veterans - MCS,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at ≥12 Months,52,ITT,Unadjusted,,,,,,p=0.37,Adjusted,beta,-1.36,95% CI,-4.24,1.52,p=0.36,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
fortney2015_SF12forVe_AvsB_52_ITT_2,Collaborative care,PTSD,265,Functioning,SF-12 for Veterans - PCS,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at ≥12 Months,52,ITT,Unadjusted,,,,,,p=0.63,Adjusted,beta,0.97,95% CI,-1.09,3.03,p=0.35,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
franklin2017_BAI_Omnibus_4_ITT_1,Psychotherapy,PTSD,27,Anxiety,BAI,Omnibus,Prolonged Exposure (PE) vs Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,Time x Treatment interaction,,,,,,p=0.31,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",50424,2019
franklin2017_BDIII_Omnibus_4_ITT_1,Psychotherapy,PTSD,27,Depression,BDI-II,Omnibus,Prolonged Exposure (PE) vs Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,Time x Treatment interaction,,,,,,p=0.21,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",50424,2019
friedman2007_HAMA_AvsB_0_ITT_1,Pharmacotherapy,PTSD,169,Anxiety,HAM-A,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,,,,,,,p≥0.05,,,,,,,,Veteran,0,1,0,0.2282,,0.7718,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (injury, fire, seeing someone hurt or die, ""miscellaneous"")",Medium,"Friedman MJ, Marmar CR, Baker DG, et al. Randomized, double-blind comparison of sertraline and placebo for posttraumatic stress disorder in a Department of Veterans Affairs setting. J Clin Psychiatry. 2007 May;68(5):711-20. PMID: 17503980.",29522,2019
friedman2007_HAMD_AvsB_0_ITT_1,Pharmacotherapy,PTSD,169,Depression,HAM-D,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,,,,,,,p≥0.05,,,,,,,,Veteran,0,1,0,0.2282,,0.7718,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (injury, fire, seeing someone hurt or die, ""miscellaneous"")",Medium,"Friedman MJ, Marmar CR, Baker DG, et al. Randomized, double-blind comparison of sertraline and placebo for posttraumatic stress disorder in a Department of Veterans Affairs setting. J Clin Psychiatry. 2007 May;68(5):711-20. PMID: 17503980.",29522,2019
friedman2007_PSQI_AvsB_0_ITT_1,Pharmacotherapy,PTSD,169,Sleep,PSQI,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,,,,,,,p≥0.05,,,,,,,,Veteran,0,1,0,0.2282,,0.7718,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (injury, fire, seeing someone hurt or die, ""miscellaneous"")",Medium,"Friedman MJ, Marmar CR, Baker DG, et al. Randomized, double-blind comparison of sertraline and placebo for posttraumatic stress disorder in a Department of Veterans Affairs setting. J Clin Psychiatry. 2007 May;68(5):711-20. PMID: 17503980.",29522,2019
frommberger2004_BDI_AvsB_0_Comp_1,Mixed: Psychotherapy & pharmacotherapy,PTSD,21,Depression,BDI,A vs B,Paroxetine vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,Completer,Group x Time interaction,,,,,,p>0.10,,,,,,,,Community,,,1,0.5714,,0.4286,Mixed,"rape/sexual assault, accidents, community/school violence",High,"Frommberger UH, Stieglitz R-D, Nyberg E, et al. Comparison between paroxetine and behaviour therapy in patients with posttraumatic stress disorder (PTSD): a pilot study. Int. J. Psychiatry Clin. Pract. 2004;8(1):19-24. doi: 10.1080/13651500310004803. PMID: 24937579.",27144,2019
frommberger2004_HAMA_AvsB_0_Comp_1,Mixed: Psychotherapy & pharmacotherapy,PTSD,21,Anxiety,HAM-A,A vs B,Paroxetine vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,Completer,Group x Time interaction,,,,,,p>0.10,,,,,,,,Community,,,1,0.5714,,0.4286,Mixed,"rape/sexual assault, accidents, community/school violence",High,"Frommberger UH, Stieglitz R-D, Nyberg E, et al. Comparison between paroxetine and behaviour therapy in patients with posttraumatic stress disorder (PTSD): a pilot study. Int. J. Psychiatry Clin. Pract. 2004;8(1):19-24. doi: 10.1080/13651500310004803. PMID: 24937579.",27144,2019
frommberger2004_MADRS_AvsB_0_Comp_1,Mixed: Psychotherapy & pharmacotherapy,PTSD,21,Depression,MADRS,A vs B,Paroxetine vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,Completer,Group x Time interaction,,,,,,p>0.10,,,,,,,,Community,,,1,0.5714,,0.4286,Mixed,"rape/sexual assault, accidents, community/school violence",High,"Frommberger UH, Stieglitz R-D, Nyberg E, et al. Comparison between paroxetine and behaviour therapy in patients with posttraumatic stress disorder (PTSD): a pilot study. Int. J. Psychiatry Clin. Pract. 2004;8(1):19-24. doi: 10.1080/13651500310004803. PMID: 24937579.",27144,2019
frueh2007_BDI_AvsB_0_Comp_1,Psychotherapy,PTSD,38,Depression,BDI,A vs B,Cognitive behavioral therapy (CBT) without a trauma focus vs Cognitive behavioral therapy (CBT) without a trauma focus,End of Treatment,0,Completer,,,,,,,p=0.65,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,High,"Frueh BC, Monnier J, Yim E, et al. A randomized trial of telepsychiatry for post-traumatic stress disorder. J. Telemed. Telecare. 2007 Apr 1;13(3):142-7. doi: 10.1258/135763307780677604. PMID: 17519056.",29644,2019
kubany2004_BDI_AvsB_0_Comp_1,Psychotherapy,PTSD,107,Depression,BDI,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Waitlist,End of Treatment,0,Completer,,SMD,2,,,,,,,,,,,,,,,,1,,0,Intimate partner violence,,Medium,"Kubany ES, Hill EE, Owens JA, et al. Cognitive trauma therapy for battered women with PTSD (CTT-BW). J Consult Clin Psychol. 2004 Feb;72(1):3-18. doi: 10.1037/0022-006x.72.1.3. PMID: 14756610.",26300,2019
galovski2012_BDIII_AvsB_0_Comp_1,Psychotherapy,PTSD,100,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Symptom monitoring,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,Community,,,1,0.69,,0.31,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",Medium,"Galovski TE, Blain LM, Mott JM, et al. Manualized therapy for PTSD: flexing the structure of cognitive processing therapy. J Consult Clin Psychol. 2012 Dec;80(6):968-81. doi: 10.1037/a0030600. PMID: 23106761.",39611,2019
galovski2012_BDIII_AvsB_0_ITT_1,Psychotherapy,PTSD,100,Depression,BDI-II,A vs B,Cognitive Processing Therapy (CPT) vs Symptom monitoring,End of Treatment,0,ITT,,Hedges' g,0.92,,,,p<0.001,,,,,,,,Community,,,1,0.69,,0.31,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",Medium,"Galovski TE, Blain LM, Mott JM, et al. Manualized therapy for PTSD: flexing the structure of cognitive processing therapy. J Consult Clin Psychol. 2012 Dec;80(6):968-81. doi: 10.1037/a0030600. PMID: 23106761.",39611,2019
galovski2012_QOLI_AvsB_0_ITT_1,Psychotherapy,PTSD,100,Quality of Life,QOLI,A vs B,Cognitive Processing Therapy (CPT) vs Symptom monitoring,End of Treatment,0,ITT,,Hedges' g,0.47,,,,p<0.025 (with Bonferroni correction),,,,,,,,Community,,,1,0.69,,0.31,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",Medium,"Galovski TE, Blain LM, Mott JM, et al. Manualized therapy for PTSD: flexing the structure of cognitive processing therapy. J Consult Clin Psychol. 2012 Dec;80(6):968-81. doi: 10.1037/a0030600. PMID: 23106761.",39611,2019
galovski2016_BDIII_AvsB_12_ITT_1,Mixed: Psychotherapy & CIH,PTSD,92,Depression,BDI-II,A vs B,Sleep-directed hypnosis followed by Cognitive Processing Therapy (CPT) vs Sleep and symptom monitoring followed by Cognitive Processing Therapy (CPT),Assessment at 3 to <6 Months,12,ITT,,,-0.03,,,,p=0.02,,,,,,,,Community,,,1,1,,0,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",High,"Galovski TE, Harik JM, Blain LM, et al. Augmenting cognitive processing therapy to improve sleep impairment in PTSD: a randomized controlled trial. J Consult Clin Psychol. 2016 Feb;84(2):167-77. doi: 10.1037/ccp0000059. PMID: 26689303.",44664,2019
galovski2016_ISI_AvsB_12_ITT_1,Mixed: Psychotherapy & CIH,PTSD,92,Sleep,ISI,A vs B,Sleep-directed hypnosis followed by Cognitive Processing Therapy (CPT) vs Sleep and symptom monitoring followed by Cognitive Processing Therapy (CPT),Assessment at 3 to <6 Months,12,ITT,,,-0.08,,,,p<0.05,,,,,,,,Community,,,1,1,,0,Mixed,"child sexual abuse, child physical abuse, rape/sexual assault, community/school violence, intimate partner violence",High,"Galovski TE, Harik JM, Blain LM, et al. Augmenting cognitive processing therapy to improve sleep impairment in PTSD: a randomized controlled trial. J Consult Clin Psychol. 2016 Feb;84(2):167-77. doi: 10.1037/ccp0000059. PMID: 26689303.",44664,2019
